id_veiculo,servico,timestamp_gps,posicao_veiculo_geo,status_viagem
B51612,917,2023-02-14 21:21:32,POINT(-43.4269 -22.87652),end
B51612,917,2023-02-14 21:21:32,POINT(-43.4269 -22.87652),end
B51612,917,2023-02-14 21:21:32,POINT(-43.4269 -22.87652),end
B51612,917,2023-02-14 21:21:32,POINT(-43.4269 -22.87652),end
B51612,917,2023-02-14 21:21:32,POINT(-43.4269 -22.87652),end
B51612,917,2023-02-14 21:37:02,POINT(-43.42791 -22.87871),start
B51612,917,2023-02-14 21:37:02,POINT(-43.42791 -22.87871),start
B51612,917,2023-02-14 21:37:02,POINT(-43.42791 -22.87871),start
B51612,917,2023-02-14 21:37:02,POINT(-43.42791 -22.87871),start
B51612,917,2023-02-14 21:37:02,POINT(-43.42791 -22.87871),start
B51612,917,2023-02-14 21:37:32,POINT(-43.4245 -22.87898),middle
B51612,917,2023-02-14 21:37:32,POINT(-43.4245 -22.87898),middle
B51612,917,2023-02-14 21:37:32,POINT(-43.4245 -22.87898),middle
B51612,917,2023-02-14 21:37:32,POINT(-43.4245 -22.87898),middle
B51612,917,2023-02-14 21:37:32,POINT(-43.4245 -22.87898),middle
B51612,917,2023-02-14 21:38:02,POINT(-43.42053 -22.87768),middle
B51612,917,2023-02-14 21:38:02,POINT(-43.42053 -22.87768),middle
B51612,917,2023-02-14 21:38:02,POINT(-43.42053 -22.87768),middle
B51612,917,2023-02-14 21:38:02,POINT(-43.42053 -22.87768),middle
B51612,917,2023-02-14 21:38:02,POINT(-43.42053 -22.87768),middle
B51612,917,2023-02-14 21:38:32,POINT(-43.41588 -22.87853),middle
B51612,917,2023-02-14 21:38:32,POINT(-43.41588 -22.87853),middle
B51612,917,2023-02-14 21:38:32,POINT(-43.41588 -22.87853),middle
B51612,917,2023-02-14 21:38:32,POINT(-43.41588 -22.87853),middle
B51612,917,2023-02-14 21:38:32,POINT(-43.41588 -22.87853),middle
B51612,917,2023-02-14 21:39:02,POINT(-43.41228 -22.88148),middle
B51612,917,2023-02-14 21:39:02,POINT(-43.41228 -22.88148),middle
B51612,917,2023-02-14 21:39:02,POINT(-43.41228 -22.88148),middle
B51612,917,2023-02-14 21:39:02,POINT(-43.41228 -22.88148),middle
B51612,917,2023-02-14 21:39:02,POINT(-43.41228 -22.88148),middle
B51612,917,2023-02-14 21:39:32,POINT(-43.41048 -22.88232),middle
B51612,917,2023-02-14 21:39:32,POINT(-43.41048 -22.88232),middle
B51612,917,2023-02-14 21:39:32,POINT(-43.41048 -22.88232),middle
B51612,917,2023-02-14 21:39:32,POINT(-43.41048 -22.88232),middle
B51612,917,2023-02-14 21:39:32,POINT(-43.41048 -22.88232),middle
B51612,917,2023-02-14 21:40:02,POINT(-43.40989 -22.88248),middle
B51612,917,2023-02-14 21:40:02,POINT(-43.40989 -22.88248),middle
B51612,917,2023-02-14 21:40:02,POINT(-43.40989 -22.88248),middle
B51612,917,2023-02-14 21:40:02,POINT(-43.40989 -22.88248),middle
B51612,917,2023-02-14 21:40:02,POINT(-43.40989 -22.88248),middle
B51612,917,2023-02-14 21:40:33,POINT(-43.40733 -22.88384),middle
B51612,917,2023-02-14 21:40:33,POINT(-43.40733 -22.88384),middle
B51612,917,2023-02-14 21:40:33,POINT(-43.40733 -22.88384),middle
B51612,917,2023-02-14 21:40:33,POINT(-43.40733 -22.88384),middle
B51612,917,2023-02-14 21:40:33,POINT(-43.40733 -22.88384),middle
B51612,917,2023-02-14 21:41:02,POINT(-43.40493 -22.88474),middle
B51612,917,2023-02-14 21:41:02,POINT(-43.40493 -22.88474),middle
B51612,917,2023-02-14 21:41:02,POINT(-43.40493 -22.88474),middle
B51612,917,2023-02-14 21:41:02,POINT(-43.40493 -22.88474),middle
B51612,917,2023-02-14 21:41:02,POINT(-43.40493 -22.88474),middle
B51612,917,2023-02-14 21:41:32,POINT(-43.40481 -22.88474),middle
B51612,917,2023-02-14 21:41:32,POINT(-43.40481 -22.88474),middle
B51612,917,2023-02-14 21:41:32,POINT(-43.40481 -22.88474),middle
B51612,917,2023-02-14 21:41:32,POINT(-43.40481 -22.88474),middle
B51612,917,2023-02-14 21:41:32,POINT(-43.40481 -22.88474),middle
B51612,917,2023-02-14 21:42:02,POINT(-43.40261 -22.88505),middle
B51612,917,2023-02-14 21:42:02,POINT(-43.40261 -22.88505),middle
B51612,917,2023-02-14 21:42:02,POINT(-43.40261 -22.88505),middle
B51612,917,2023-02-14 21:42:02,POINT(-43.40261 -22.88505),middle
B51612,917,2023-02-14 21:42:02,POINT(-43.40261 -22.88505),middle
B51612,917,2023-02-14 21:43:40,POINT(-43.3988 -22.88577),middle
B51612,917,2023-02-14 21:43:40,POINT(-43.3988 -22.88577),middle
B51612,917,2023-02-14 21:43:40,POINT(-43.3988 -22.88577),middle
B51612,917,2023-02-14 21:43:40,POINT(-43.3988 -22.88577),middle
B51612,917,2023-02-14 21:43:40,POINT(-43.3988 -22.88577),middle
B51612,917,2023-02-14 21:44:10,POINT(-43.39568 -22.88625),middle
B51612,917,2023-02-14 21:44:10,POINT(-43.39568 -22.88625),middle
B51612,917,2023-02-14 21:44:10,POINT(-43.39568 -22.88625),middle
B51612,917,2023-02-14 21:44:10,POINT(-43.39568 -22.88625),middle
B51612,917,2023-02-14 21:44:10,POINT(-43.39568 -22.88625),middle
B51612,917,2023-02-14 21:44:40,POINT(-43.39409 -22.88751),middle
B51612,917,2023-02-14 21:44:40,POINT(-43.39409 -22.88751),middle
B51612,917,2023-02-14 21:44:40,POINT(-43.39409 -22.88751),middle
B51612,917,2023-02-14 21:44:40,POINT(-43.39409 -22.88751),middle
B51612,917,2023-02-14 21:44:40,POINT(-43.39409 -22.88751),middle
B51612,917,2023-02-14 21:45:10,POINT(-43.39218 -22.88779),middle
B51612,917,2023-02-14 21:45:10,POINT(-43.39218 -22.88779),middle
B51612,917,2023-02-14 21:45:10,POINT(-43.39218 -22.88779),middle
B51612,917,2023-02-14 21:45:10,POINT(-43.39218 -22.88779),middle
B51612,917,2023-02-14 21:45:10,POINT(-43.39218 -22.88779),middle
B51612,917,2023-02-14 21:45:40,POINT(-43.3901 -22.88785),middle
B51612,917,2023-02-14 21:45:40,POINT(-43.3901 -22.88785),middle
B51612,917,2023-02-14 21:45:40,POINT(-43.3901 -22.88785),middle
B51612,917,2023-02-14 21:45:40,POINT(-43.3901 -22.88785),middle
B51612,917,2023-02-14 21:45:40,POINT(-43.3901 -22.88785),middle
B51612,917,2023-02-14 21:46:10,POINT(-43.39005 -22.88754),middle
B51612,917,2023-02-14 21:46:10,POINT(-43.39005 -22.88754),middle
B51612,917,2023-02-14 21:46:10,POINT(-43.39005 -22.88754),middle
B51612,917,2023-02-14 21:46:10,POINT(-43.39005 -22.88754),middle
B51612,917,2023-02-14 21:46:10,POINT(-43.39005 -22.88754),middle
B51612,917,2023-02-14 21:46:40,POINT(-43.38968 -22.88575),middle
B51612,917,2023-02-14 21:46:40,POINT(-43.38968 -22.88575),middle
B51612,917,2023-02-14 21:46:40,POINT(-43.38968 -22.88575),middle
B51612,917,2023-02-14 21:46:40,POINT(-43.38968 -22.88575),middle
B51612,917,2023-02-14 21:46:40,POINT(-43.38968 -22.88575),middle
B51612,917,2023-02-14 21:47:10,POINT(-43.3877 -22.88498),middle
B51612,917,2023-02-14 21:47:10,POINT(-43.3877 -22.88498),middle
B51612,917,2023-02-14 21:47:10,POINT(-43.3877 -22.88498),middle
B51612,917,2023-02-14 21:47:10,POINT(-43.3877 -22.88498),middle
B51612,917,2023-02-14 21:47:10,POINT(-43.3877 -22.88498),middle
B51612,917,2023-02-14 21:47:40,POINT(-43.3858 -22.8843),middle
B51612,917,2023-02-14 21:47:40,POINT(-43.3858 -22.8843),middle
B51612,917,2023-02-14 21:47:40,POINT(-43.3858 -22.8843),middle
B51612,917,2023-02-14 21:47:40,POINT(-43.3858 -22.8843),middle
B51612,917,2023-02-14 21:47:40,POINT(-43.3858 -22.8843),middle
B51612,917,2023-02-14 21:48:10,POINT(-43.38373 -22.88303),middle
